#time	operator	index	value
0	X	1	0
0	Y	1	0
0	Z	1	-1
0	X	2	0
0	Y	2	0
0	Z	2	1
0	X	3	0
0	Y	3	0
0	Z	3	1

0.1	X	1	-4.2779608892647e-19
0.1	Y	1	-1.68591160866595e-18
0.1	Z	1	-0.903292456992414
0.1	X	2	-2.86916006390236e-17
0.1	Y	2	-1.36590534005844e-16
0.1	Z	2	0.923961892831051
0.1	X	3	1.29399665856182e-17
0.1	Y	3	4.34446157148442e-18
0.1	Z	3	0.999230896662994

0.2	X	1	-7.05020605526797e-16
0.2	Y	1	2.74509474965373e-16
0.2	Z	1	-0.675355611080885
0.2	X	2	5.79473295892871e-16
0.2	Y	2	2.54142940873717e-16
0.2	Z	2	0.726399440887546
0.2	X	3	-1.22649341029858e-16
0.2	Y	3	1.43572522666186e-16
0.2	Z	3	0.988558823579766

0.3	X	1	-9.51331832900606e-16
0.3	Y	1	6.42737021130543e-16
0.3	Z	1	-0.365342073250082
0.3	X	2	7.58946489659908e-16
0.3	Y	2	1.26636577205926e-16
0.3	Z	2	0.476941628135279
0.3	X	3	-1.88661147445172e-16
0.3	Y	3	3.09156912897587e-16
0.3	Z	3	0.94750937801769

0.4	X	1	-9.76179593381137e-16
0.4	Y	1	6.80848217471165e-16
0.4	Z	1	-0.0320218569463045
0.4	X	2	3.52638523179439e-15
0.4	Y	2	7.99605931646504e-16
0.4	Z	2	0.256627644738375
0.4	X	3	-5.16927258327366e-16
0.4	Y	3	1.81774579338855e-15
0.4	Z	3	0.85381533390316

0.5	X	1	-9.69084102663759e-16
0.5	Y	1	5.89735587585092e-16
0.5	Z	1	0.271118387930207
0.5	X	2	-1.09518923011392e-15
0.5	Y	2	8.62786576137678e-16
0.5	Z	2	0.131955674565633
0.5	X	3	-5.74099070965707e-16
0.5	Y	3	1.62748259090792e-16
0.5	Z	3	0.694467088502578

0.6	X	1	-1.51904838127907e-16
0.6	Y	1	1.05038410871014e-15
0.6	Z	1	0.507681639631217
0.6	X	2	-1.70615013890665e-15
0.6	Y	2	6.48832821341835e-17
0.6	Z	2	0.135223855931528
0.6	X	3	-4.01605082797907e-16
0.6	Y	3	-8.43083987065586e-17
0.6	Z	3	0.473565437268572

0.7	X	1	1.04798740174683e-16
0.7	Y	1	1.58037796788323e-15
0.7	Z	1	0.664037773516978
0.7	X	2	-3.94999763643653e-15
0.7	Y	2	-1.71947021416697e-15
0.7	Z	2	0.256838024647693
0.7	X	3	1.36464912640129e-15
0.7	Y	3	-2.49663846662774e-15
0.7	Z	3	0.214336562023217

0.8	X	1	-8.49604885833861e-17
0.8	Y	1	2.26587145854338e-15
0.8	Z	1	0.747919131935735
0.8	X	2	-5.48061127495478e-15
0.8	Y	2	-1.64213080799453e-15
0.8	Z	2	0.451156057832084
0.8	X	3	1.98015498508471e-15
0.8	Y	3	-6.15163755953524e-15
0.8	Z	3	-0.0453078825413364

0.9	X	1	-1.23328396935868e-16
0.9	Y	1	2.59827005776323e-15
0.9	Z	1	0.781181724490592
0.9	X	2	-4.23774292969711e-15
0.9	Y	2	-4.78736509622377e-16
0.9	Z	2	0.653127295435556
0.9	X	3	9.6272474703353e-16
0.9	Y	3	-7.18511871128776e-15
0.9	Z	3	-0.262171390468898

1	X	1	-5.22486327316602e-17
1	Y	1	2.60482836405757e-15
1	Z	1	0.789615379056633
1	X	2	-3.29528941440835e-15
1	Y	2	8.88821353279261e-16
1	Z	2	0.799820655850963
1	X	3	-2.54684373537055e-15
