#time	operator	index_1	index_2	value
0	ZZ	1	2	-1
0	ZZ	1	3	-1
0	ZZ	2	1	-1
0	ZZ	2	3	1
0	ZZ	3	1	-1
0	ZZ	3	2	1

0.1	ZZ	1	2	-0.979330564161362
0.1	ZZ	1	3	-0.904061560329421
0.1	ZZ	2	1	-0.979330564161362
0.1	ZZ	2	3	0.923192789494045
0.1	ZZ	3	1	-0.904061560329421
0.1	ZZ	3	2	0.923192789494045

0.2	ZZ	1	2	-0.948956170193343
0.2	ZZ	1	3	-0.68679678750112
0.2	ZZ	2	1	-0.948956170193343
0.2	ZZ	2	3	0.714958264467312
0.2	ZZ	3	1	-0.68679678750112
0.2	ZZ	3	2	0.714958264467312

0.3	ZZ	1	2	-0.888400445114805
0.3	ZZ	1	3	-0.417832695232393
0.3	ZZ	2	1	-0.888400445114805
0.3	ZZ	2	3	0.424451006152969
0.3	ZZ	3	1	-0.417832695232393
0.3	ZZ	3	2	0.424451006152969

0.4	ZZ	1	2	-0.775394212207935
0.4	ZZ	1	3	-0.17820652304315
0.4	ZZ	2	1	-0.775394212207935
0.4	ZZ	2	3	0.110442978641531
0.4	ZZ	3	1	-0.17820652304315
0.4	ZZ	3	2	0.110442978641531

0.5	ZZ	1	2	-0.596925937504166
0.5	ZZ	1	3	-0.0344145235672208
0.5	ZZ	2	1	-0.596925937504166
0.5	ZZ	2	3	-0.173577236931794
0.5	ZZ	3	1	-0.0344145235672208
0.5	ZZ	3	2	-0.173577236931794

0.6	ZZ	1	2	-0.357094504437259
0.6	ZZ	1	3	-0.0187529231002165
0.6	ZZ	2	1	-0.357094504437259
0.6	ZZ	2	3	-0.391210706799905
0.6	ZZ	3	1	-0.0187529231002165
0.6	ZZ	3	2	-0.391210706799905

0.7	ZZ	1	2	-0.0791242018353331
0.7	ZZ	1	3	-0.121625664459809
0.7	ZZ	2	1	-0.0791242018353331
0.7	ZZ	2	3	-0.528825413329096
0.7	ZZ	3	1	-0.121625664459809
0.7	ZZ	3	2	-0.528825413329096

0.8	ZZ	1	2	0.199075189767815
0.8	ZZ	1	3	-0.297388750605605
0.8	ZZ	2	1	0.199075189767815
0.8	ZZ	2	3	-0.594151824709257
0.8	ZZ	3	1	-0.297388750605605
0.8	ZZ	3	2	-0.594151824709257

0.9	ZZ	1	2	0.434309019926151
0.9	ZZ	1	3	-0.480989665978303
0.9	ZZ	2	1	0.434309019926151
0.9	ZZ	2	3	-0.609044095033341
0.9	ZZ	3	1	-0.480989665978303
0.9	ZZ	3	2	-0.609044095033341

1	ZZ	1	2	0.58943603490761
1	ZZ	1	3	-0.609495491923226
1	ZZ	2	1	0.58943603490761
1	ZZ	2	3	-0.599290215128899
1	ZZ	3	1	-0.609495491923226
1	ZZ	3	2	-0.599290215128899

1.1	ZZ	1	2	0.643120692282952
1.1	ZZ	1	3	-0.641489372990589
1.1	ZZ	2	1	0.643120692282952
1.1	ZZ	2	3	-0.584967860479208
1.1	ZZ	3	1	-0.641489372990589
1.1	ZZ	3	2	-0.584967860479208

1.2	ZZ	1	2	0.595100410084272
1.2	ZZ	1	3	-0.568457497334664
1.2	ZZ	2	1	0.595100410084272
1.2	ZZ	2	3	-0.574324659619045
1.2	ZZ	3	1	-0.568457497334664
1.2	ZZ	3	2	-0.574324659619045

1.3	ZZ	1	2	0.465558229673133
1.3	ZZ	1	3	-0.415178476801575
1.3	ZZ	2	1	0.465558229673133
1.3	ZZ	2	3	-0.562761476554721
1.3	ZZ	3	1	-0.415178476801575
1.3	ZZ	3	2	-0.562761476554721

1.4	ZZ	1	2	0.289033609132343
1.4	ZZ	1	3	-0.229746928004251
1.4	ZZ	2	1	0.289033609132343
1.4	ZZ	2	3	-0.536719622724359
1.4	ZZ	3	1	-0.229746928004251
1.4	ZZ	3	2	-0.536719622724359

1.5	ZZ	1	2	0.104909550051169
1.5	ZZ	1	3	-0.0670389981594619
1.5	ZZ	2	1	0.104909550051169
1.5	ZZ	2	3	-0.480702457593046
1.5	ZZ	3	1	-0.0670389981594619
1.5	ZZ	3	2	-0.480702457593046

1.6	ZZ	1	2	-0.0525955506886022
1.6	ZZ	1	3	0.0287963849161583
1.6	ZZ	2	1	-0.0525955506886022
1.6	ZZ	2	3	-0.384775990093559
1.6	ZZ	3	1	0.0287963849161583
1.6	ZZ	3	2	-0.384775990093559

1.7	ZZ	1	2	-0.162054798001736
1.7	ZZ	1	3	0.0373163701631511
1.7	ZZ	2	1	-0.162054798001736
1.7	ZZ	2	3	-0.249920838548157
1.7	ZZ	3	1	0.0373163701631511
1.7	ZZ	3	2	-0.249920838548157

1.8	ZZ	1	2	-0.218117478906446
1.8	ZZ	1	3	-0.0334874905163819
1.8	ZZ	2	1	-0.218117478906446
1.8	ZZ	2	3	-0.089475876223514
1.8	ZZ	3	1	-0.0334874905163819
1.8	ZZ	3	2	-0.089475876223514

1.9	ZZ	1	2	-0.229931010373229
1.9	ZZ	1	3	-0.151615160420967
1.9	ZZ	2	1	-0.229931010373229
1.9	ZZ	2	3	0.073709635019448
1.9	ZZ	3	1	-0.151615160420967
1.9	ZZ	3	2	0.073709635019448

2	ZZ	1	2	-0.215668126628774
2	ZZ	1	3	-0.272637207152904
2	ZZ	2	1	-0.215668126628774
2	ZZ	2	3	0.213382321468407
2	ZZ	3	1	-0.272637207152904
2	ZZ	3	2	0.213382321468407

2.1	ZZ	1	2	-0.19520555062125
2.1	ZZ	1	3	-0.354341481473859
2.1	ZZ	2	1	-0.19520555062125
2.1	ZZ	2	3	0.307210048212973
2.1	ZZ	3	1	-0.354341481473859
2.1	ZZ	3	2	0.307210048212973

2.2	ZZ	1	2	-0.183369065165129
2.2	ZZ	1	3	-0.369688774830418
2.2	ZZ	2	1	-0.183369065165129
2.2	ZZ	2	3	0.342982648144202
2.2	ZZ	3	1	-0.369688774830418
2.2	ZZ	3	2	0.342982648144202

2.3	ZZ	1	2	-0.185759712259292
2.3	ZZ	1	3	-0.314169708812551
2.3	ZZ	2	1	-0.185759712259292
